Codrecurso,URLNombreCast,Nombre,URLNombreBuscador,CodCategoria,IdRecursoCategoria,IDCATEGORIA,NombreLocalidad,Tipo,Especialidad,Path,ImgFichero,DescripZona,Distancia,GEORR_X,GEORR_Y,DIPLOMACOMPROMISO
"1302","Asador Larra","Asador Larra","Restauracion","081005","2191","02010000","CORELLA","Restaurantes","Asador","02\01\00\00\","1302FotoTH1.jpg","La Ribera","","600491","4663364","NO"
"1428","Asador Lizarraga","Asador Lizarraga","Restauracion","081005","2317","02010000","URROZ-VILLA","Restaurantes","Casera o regional","02\01\00\00\","1428FotoTH1.jpg","Pirineos","","626013","4737401","NO"
"1214","Asador Los Nandos","Asador Los Nandos","Restauracion","081002","2103","02010000","LODOSA","Restaurantes","Asador","02\01\00\00\","1214FotoTH2.jpg","La Ribera","","575473","4697435","NO"
"1187","Asador Maya","Asador Maya","Restauracion","081003","2076","02010000","ESQUÍROZ","Restaurantes","Asador","02\01\00\00\","1187FotoTH1.jpg","Cuenca de Pamplona","","610032","4736501","NO"
"1243","Asador Mediavilla","Asador Mediavilla","Restauracion","081001","2132","02010000","SANGÜESA","Restaurantes","Asador, Asador, Casera o regional","02\01\00\00\","1243FotoTH1.jpg","Zona Media","","640804","4715136","NO"
"1533","Asador Menchu","Asador Menchu","Restauracion","081005","2422","02010000","PAMPLONA","Restaurantes","Asador","02\01\00\00\","1533FotoTH1.jpg","Cuenca de Pamplona","","609387","4740181","NO"
"1513","Asador Mutiloa","Asador Mutiloa","Restauracion","081005","2402","02010000","MUTILVA","Restaurantes","Casera o regional","02\01\00\00\","1513FotoTH1.jpg","Cuenca de Pamplona","","612316","4737656","NO"
"1116","Asador Olave","Asador Olave","Restauracion","081005","2005","02010000","PAMPLONA","Restaurantes","","","","Cuenca de Pamplona","","610736","4742879","NO"
"1110","Asador Olaverri","Asador Olaverri","Restauracion","081005","1999","02010000","PAMPLONA","Restaurantes","Asador","02\01\00\00\","1110FotoTH1.jpg","Cuenca de Pamplona","","611500","4740323","NO"
"1084","Asador Oñaska","Asador Oñaska","Restauracion","081001","1973","02010000","ELBETE","Restaurantes","Asador, Asador, Casera o regional","02\01\00\00\","1084FotoTH1.jpg","Pirineos","","620442","4778870","NO"
"1566","Asador Pizzeria Casa del Preboste","Asador Pizzeria Casa del Preboste","Restauracion","081003","2455","02010000","OLITE","Restaurantes","Casera o regional","02\01\00\00\","1566FotoTH1.jpg","Zona Media","","610873","4704022","NO"
"989","Asador Sidrería Horno de Aralar","Asador Sidrería Horno de Aralar","Restauracion","081005","1878","02010000","PAMPLONA","Restaurantes","","02\01\00\00\","989FotoTH1.jpg","Cuenca de Pamplona","","610838","4741343","NO"
"1252","Asador Sidrería Saralegui","Asador Sidrería Saralegui","Restauracion","081005","2141","02010000","BARAÑÁIN","Restaurantes","Sidrería","02\01\00\00\","1252FotoTH1.jpg","Cuenca de Pamplona","","607708","4739735","NO"
"1350","Asador Sidreria Zaldiko","Asador Sidreria Zaldiko","Restauracion","081005","2239","02010000","PAMPLONA","Restaurantes","Sidrería","02\01\00\00\","1350FotoTH1.jpg","Cuenca de Pamplona","","610715","4741594","NO"
"1065","Asador Sidrería Zubiondo","Asador Sidrería Zubiondo","Restauracion","081002","1954","02010000","LESAKA","Restaurantes","Asador, Sidrería","02\01\00\00\","1065FotoTH1.jpg","Pirineos","","605818","4792632","NO"
"1176","Asador Tres Tinas","Asador Tres Tinas","Restauracion","081002","2065","02010000","VIANA","Restaurantes","","02\01\00\00\","1176FotoTH1.JPG","Pirineos","","551787","4707221","NO"
"1592","Asador Uslaer","Asador Uslaer","Restauracion","081005","2481","02010000","PAMPLONA","Restaurantes","Asador","02\01\00\00\","1592FotoTH1.jpg","Cuenca de Pamplona","","610460","4742796","NO"
"4830","Asador Uxue","Asador Uxue","Restauracion","081005","2803","02010000","UJUÉ","Restaurantes","Casera o regional","02\01\00\00\","4830FotoTH1.jpg","Zona Media","","623252","4707028","NO"
"1257","Asador Zubiondo","Asador Zubiondo","Restauracion","081003","2146","02010000","HUARTE","Restaurantes","Asador","02\01\00\00\","1257FotoTH1.jpg","Cuenca de Pamplona","","615541","4743198","NO"
"1352","Asador Zulueta","Asador Zulueta","Restauracion","081005","2241","02010000","ZULUETA","Restaurantes","Asador","02\01\00\00\","1352FotoTH1.JPG","Cuenca de Pamplona","","615928","4732915","NO"
"1175","Askartza","Askartza","Restauracion","081005","2064","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","1175FotoTH1.jpg","Cuenca de Pamplona","","610449","4741497","NO"
"1559","Astarriaga","Astarriaga","Restauracion","081003","2448","02010000","ESTELLA-LIZARRA","Restaurantes","Asador","02\01\00\00\","1559FotoTH1.jpg","Zona Media","","579302","4724869","NO"
"5968","Astarriaga","Astarriaga","Restauracion","","5893","02030000","ESTELLA-LIZARRA","Bares de pinchos","","02\03\00\00\","5968FotoTH1.JPG","Zona Media","","579324","4724864","NO"
"5248","Astitz","Astitz","Restauracion","081001","2838","02010000","ASTITZ","Restaurantes","Casera o regional","02\01\00\00\","5248FotoTH1.jpg","Pirineos","","591301","4758240","NO"
"1278","Atalaya","Atalaya","Restauracion","081005","2167","02010000","PERALTA","Restaurantes","Casera o regional","02\01\00\00\","1278FotoTH1.jpg","La Ribera","","599111","4688085","NO"
