Codrecurso,URLNombreCast,Nombre,URLNombreBuscador,CodCategoria,IdRecursoCategoria,IDCATEGORIA,NombreLocalidad,Tipo,Especialidad,Path,ImgFichero,DescripZona,Distancia,GEORR_X,GEORR_Y,DIPLOMACOMPROMISO
"1669","Condivetto","Condivetto","Restauracion","081101                                            ","2558","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","610886","4740885","NO"
"1161","Costa Brava","Costa Brava","Restauracion","081005","2050","02010000","FUSTIÑANA","Restaurantes","Casera o regional","02\01\00\00\","1161FotoTH1.jpg","La Ribera","","625371","4653076","NO"
"1018","Coto de la Valdorba","Coto de la Valdorba","Restauracion","081003","1907","02010000","SANSOÁIN","Restaurantes","Casera o regional","02\01\00\00\","1018FotoTH1.jpg","Zona Media","","615158","4713648","NO"
"1686","Cuatro","Cuatro","Restauracion","081101                                            ","2575","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","608487","4740506","NO"
"6470","Danbolintxulo","Danbolintxulo","Restauracion","081001","6422","02010000","ETXARRI-ARANATZ","Restaurantes","Casera o regional","02\01\00\00\","6470FotoTH1.JPG","Pirineos","","575161","4751503","NO"
"3942","Deboca","Deboca","Restauracion","081005","2680","02010000","PAMPLONA","Restaurantes","Innovadora","02\01\00\00\","3942FotoTH2.jpg","Cuenca de Pamplona","","611593","4740255","NO"
"1058","Deportivo","Deportivo","Restauracion","081005","1947","02010000","CARCASTILLO","Restaurantes","","02\01\00\00\","1058FotoTH1.jpg","La Ribera","","628777","4692783","NO"
"5936","Diamante","Diamante","Restauracion","","5861","02030000","TUDELA","Bares de pinchos","","02\03\00\00\","5936FotoTH1.JPG","La Ribera","","615346","4657581","NO"
"5034","Disco Bar Charly","Disco Bar Charly","Restauracion","081005","2827","02010000","CORTES","Restaurantes","Casera o regional","02\01\00\00\","5034FotoTH1.jpg","La Ribera","","631072","4642235","NO"
"1234","Dom Lluis","Dom Lluis","Restauracion","081005","2123","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","1234FotoTH1.jpg","Cuenca de Pamplona","","610880","4741346","NO"
"5477","Dom LLuis","Dom LLuis","Restauracion","                                                  ","2868","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","5477FotoTH1.jpg","Cuenca de Pamplona","","610880","4741346","NO"
"8219","Domino's Pizza","Domino's Pizza","Restauracion","081001","8143","02010000","TUDELA","Restaurantes","Italiano","","","La Ribera","","616062","4656672","NO"
"1499","Domino´s Pizza","Domino´s Pizza","Restauracion","081005","2388","02010000","PAMPLONA","Restaurantes","Rápida","02\01\00\00\","1499FotoTH1.jpg","Cuenca de Pamplona","","609555","4740385","NO"
"1500","Domino´s Pizza","Domino´s Pizza","Restauracion","081005","2389","02010000","PAMPLONA","Restaurantes","Rápida","02\01\00\00\","1500FotoTH1.jpg","Cuenca de Pamplona","","610980","4740857","NO"
"6436","Don Carlos","Don Carlos","Restauracion","081004","6677","02010000","HUARTE","Restaurantes","Casera o regional","02\01\00\00\","6436FotoTH1.JPG","Cuenca de Pamplona","","614357","4742908","NO"
"1241","Don Huevone","Don Huevone","Restauracion","081005","2130","02010000","PAMPLONA","Restaurantes","Rápida","02\01\00\00\","1241FotoTH1.jpg","Cuenca de Pamplona","","611600","4740367","NO"
"193","Don Javier","Don Javier","Restauracion","","2974","02040000","ORORBIA","Restaurantes","Casera o regional","01\01\03\00\","193FotoTH1.jpg","Cuenca de Pamplona","","602407","4741297","NO"
"1277","Don Manolo","Don Manolo","Restauracion","081005","2166","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","1277FotoTH1.jpg","Cuenca de Pamplona","","609516","4740690","NO"
"1528","Don Menú","Don Menú","Restauracion","081001","2417","02010000","ESTELLA-LIZARRA","Restaurantes","Casera o regional","02\01\00\00\","1528FotoTH1.jpg","Zona Media","","579139","4724863","NO"
"1022","Don Pelayo","Don Pelayo","Restauracion","081005","1911","02010000","PAMPLONA","Restaurantes","","02\01\00\00\","1022FotoTH1.jpg","Cuenca de Pamplona","","611600","4740367","NO"
"4760","Don Pincho","Don Pincho","Restauracion","                                                  ","2795","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","4760FotoTH2.jpg","Cuenca de Pamplona","","609393","4740655","NO"
"1409","Donamariako Benta","Donamariako Benta","Restauracion","081001","2298","02010000","DONAMARIA","Restaurantes","Casera o regional","02\01\00\00\","1409FotoTH1.jpg","Pirineos","","607290","4774186","SI"
"4582","Donibane","Donibane","Restauracion","081005","2739","02010000","VILLATUERTA","Restaurantes","Casera o regional","02\01\00\00\","4582FotoTH1.jpg","Zona Media","","588380","4719677","NO"
"4117","Dos Hermanas","Dos Hermanas","Restauracion","081001","2707","02010000","IRURTZUN","Restaurantes","Casera o regional","02\01\00\00\","4117FotoTH1.jpg","Pirineos","","592658","4746660","NO"
"5972","Dos Pasos","Dos Pasos","Restauracion","","5897","02030000","ESTELLA-LIZARRA","Bares de pinchos","","02\03\00\00\","5972FotoTH1.JPG","Zona Media","","579176","4724831","NO"
"1622","Doven","Doven","Restauracion","081101                                            ","2511","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","609276","4741071","NO"
"1448","Dragon","Dragon","Restauracion","081005","2337","02010000","PAMPLONA","Restaurantes","Internacional","02\01\00\00\","1448FotoTH1.jpg","Cuenca de Pamplona","","611162","4740899","NO"
"1668","Ducal","Ducal","Restauracion","081101                                            ","2557","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","611317","4740919","NO"
"1178","Ducay","Ducay","Restauracion","081005","2067","02010000","OLITE","Restaurantes","","02\01\00\00\","1178FotoTH1.jpg","Zona Media","","610871","4704075","NO"
"1136","Dulanz","Dulanz","Restauracion","081005","2025","02010000","ABÁRZUZA","Restaurantes","","02\01\00\00\","1136FotoTH1.jpg","Zona Media","","580114","4730908","NO"
"1371","Duque","Duque","Restauracion","081005","2260","02010000","GALLIPIENZO NUEVO","Restaurantes","Casera o regional","02\01\00\00\","1371FotoTH1.jpg","Zona Media","","632176","4709877","NO"
"5558","Durban","Durban","Restauracion","081005","2881","02010000","AYEGUI","Restaurantes","Casera o regional","02\01\00\00\","5558FotoTH1.JPG","Zona Media","","578931","4723099","NO"
"1474","Echegoyen","Echegoyen","Restauracion","081005","2363","02010000","MURCHANTE","Restaurantes","Casera o regional","02\01\00\00\","1474FotoTH1.JPG","La Ribera","","611230","4654035","NO"
"1673","Eden","Eden","Restauracion","081102                                            ","2562","02020000","BURLADA","Cafeterías","","","","Cuenca de Pamplona","","613127","4742476","NO"
"1468","Ederrena","Ederrena","Restauracion","081005","2357","02010000","AURIZBERRI/ESPINAL","Restaurantes","Casera o regional","02\01\00\00\","1468FotoTH1.jpg","Pirineos","","632826","4759894","NO"
"3932","Eguzki","Eguzki","Restauracion","081005","2670","02010000","MUTILVA","Restaurantes","Casera o regional","02\01\00\00\","3932FotoTH1.jpg","Cuenca de Pamplona","","612915","4739494","NO"
